episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
120,9.1255,0.1825,29.62,34.92,188.47,69.01,128,785.46,290.21,87.49,50
121,6.5159,0.1303,270.48,251.99,606.25,70.97,128,820.52,275.73,98.57,50
122,8.6465,0.1729,19.79,34.92,117.47,63.50,128,744.16,261.50,100.00,50
123,4.4818,0.0896,161.86,240.59,3586.50,285.01,192,1023.08,318.96,97.24,50
124,6.3988,0.1280,6.91,43.07,37.08,58.92,256,881.85,286.71,99.39,50
125,6.2055,0.1241,18.61,87.37,77.66,61.05,256,872.27,230.35,98.75,50
126,7.7493,0.1550,196.95,130.11,7756.61,394.46,128,833.79,265.60,87.21,50
127,9.5663,0.1913,6.46,58.23,31.99,59.05,128,873.34,283.63,97.41,50
128,7.3492,0.1470,19.81,58.23,110.01,63.17,128,783.65,263.65,97.65,50
129,6.9001,0.1380,34.82,43.06,311.97,69.16,256,925.93,285.43,92.24,50
130,7.0541,0.1411,350.99,240.59,8941.61,352.63,192,812.74,270.91,92.01,50
131,6.5073,0.1301,3.36,58.20,9.04,55.93,128,985.83,323.30,97.59,50
132,7.7423,0.1548,418.27,256.81,10192.40,333.47,192,842.41,253.99,93.55,50
133,6.5374,0.1307,15.82,684.57,279.82,279.23,256,890.92,296.66,85.71,50
134,8.1986,0.1640,6.91,43.07,37.08,58.92,256,870.74,270.98,91.64,50
135,8.2128,0.1643,38.09,130.12,1085.72,271.61,128,900.95,298.84,99.42,50
136,5.9192,0.1184,122.70,251.99,1669.30,288.55,128,943.65,314.41,91.87,50
137,9.0259,0.1805,34.82,43.06,311.97,69.16,256,913.29,302.03,94.56,50
138,6.4855,0.1297,45.52,69.96,274.59,70.22,192,848.47,263.51,97.70,50
139,7.7174,0.1543,3.49,69.96,7.57,54.20,192,855.71,230.67,94.98,50
140,5.0087,0.1002,3.09,43.06,12.31,58.00,256,938.27,293.06,99.24,50
141,8.2121,0.1642,11.83,419.68,48.31,339.71,256,872.82,284.17,89.89,50
142,6.8291,0.1366,82.55,419.70,2182.61,321.10,256,1000.62,322.53,97.77,50
143,7.8854,0.1577,47.59,419.71,971.03,299.40,256,976.21,287.17,100.00,50
144,7.4096,0.1482,6.91,43.07,37.08,58.92,256,738.51,279.66,97.76,50
145,6.4849,0.1297,7.30,69.96,37.71,59.15,192,911.21,284.10,100.00,50
146,8.4960,0.1699,56.64,684.57,1098.59,334.86,256,920.56,299.63,89.41,50
147,7.5131,0.1503,20.02,43.06,183.09,63.56,256,964.91,298.52,90.50,50
148,8.1176,0.1624,29.62,34.92,188.47,69.01,128,900.04,303.96,92.51,50
149,8.8473,0.1769,12.33,69.96,60.39,60.13,192,807.36,252.54,97.40,50
150,7.7017,0.1540,6.91,43.07,37.08,58.92,256,808.60,238.68,99.24,50
151,5.3069,0.1061,9.89,34.92,52.92,59.67,128,821.38,273.39,87.82,50
152,5.8072,0.1161,28.50,69.96,77.57,64.44,192,791.32,267.65,98.57,50
