episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
182,19.9435,0.3989,15.82,684.57,279.82,279.23,256,372.89,108.01,100.00,50
183,19.4250,0.3885,15.82,684.57,279.82,279.23,256,290.84,97.45,100.00,50
184,18.6064,0.3721,56.64,684.57,1098.59,334.86,256,401.76,127.16,100.00,50
185,18.9109,0.3782,8.66,684.55,44.57,333.95,256,374.67,129.68,100.00,50
186,19.3946,0.3879,56.64,684.57,1098.59,334.86,256,344.78,115.28,100.00,50
187,19.5108,0.3902,56.64,684.57,1098.59,334.86,256,310.93,102.46,100.00,50
188,18.9456,0.3789,8.66,684.55,44.57,333.95,256,420.56,154.97,91.33,50
189,19.7122,0.3942,8.66,684.55,44.57,333.95,256,259.42,89.68,91.80,50
190,20.4259,0.4085,29.62,684.57,503.88,225.55,256,224.96,69.43,100.00,50
191,20.3267,0.4065,29.62,684.57,503.88,225.55,256,213.06,69.41,100.00,50
192,18.4954,0.3699,86.49,684.57,2525.74,361.16,256,503.83,155.34,100.00,50
193,19.7755,0.3955,29.62,684.57,503.88,225.55,256,325.60,105.41,100.00,50
194,19.1854,0.3837,15.82,684.57,279.82,279.23,256,361.37,133.20,100.00,50
195,18.4713,0.3694,29.62,684.57,503.88,225.55,256,362.37,106.66,100.00,50
196,18.5896,0.3718,106.77,251.99,218.08,62.87,128,481.55,140.40,100.00,50
197,20.6119,0.4122,86.49,684.57,2525.74,361.16,256,241.32,90.12,91.32,50
198,19.6503,0.3930,15.82,684.57,279.82,279.23,256,268.61,87.53,100.00,50
199,19.9486,0.3990,29.62,684.57,503.88,225.55,256,312.33,103.49,89.32,50
200,20.5316,0.4106,86.49,684.57,2525.74,361.16,256,233.89,103.11,100.00,50
201,19.0867,0.3817,56.64,684.57,1098.59,334.86,256,383.50,142.16,100.00,50
202,20.3233,0.4065,56.64,684.57,1098.59,334.86,256,134.34,37.78,99.31,50
203,20.9965,0.4199,56.64,684.57,1098.59,334.86,256,108.39,42.18,100.00,50
204,20.4834,0.4097,29.62,684.57,503.88,225.55,256,179.13,43.98,100.00,50
