episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
93,4.6457,0.0929,10.67,58.23,64.12,60.14,128,0.00,0.00,100.00,50
94,6.9663,0.1393,28.50,69.96,77.57,64.44,192,0.00,0.00,100.00,50
95,6.6973,0.1339,6.29,251.97,13.42,53.25,128,0.00,0.00,100.00,50
96,6.2227,0.1245,15.82,684.57,279.82,279.23,256,0.00,0.00,100.00,50
97,5.4161,0.1083,82.55,419.70,2182.61,321.10,256,0.00,0.00,100.00,50
98,6.0307,0.1206,10.67,58.23,64.12,60.14,128,0.00,0.00,100.00,50
99,6.7506,0.1350,321.28,419.71,9746.25,405.04,256,0.00,0.00,100.00,50
100,8.2960,0.1659,18.61,87.37,77.66,61.05,256,0.00,0.00,100.00,50
101,8.4033,0.1681,8.66,684.55,44.57,333.95,256,0.00,0.00,100.00,50
102,6.3033,0.1261,209.56,253.93,1552.49,206.21,192,0.00,0.00,100.00,50
103,5.8334,0.1167,29.62,684.57,503.88,225.55,256,0.00,0.00,100.00,50
104,4.6478,0.0930,29.62,34.92,188.47,69.01,128,0.00,0.00,100.00,50
105,5.6924,0.1138,52.15,251.99,112.82,59.78,128,0.00,0.00,100.00,50
106,5.4080,0.1082,12.33,69.96,60.39,60.13,192,0.00,0.00,100.00,50
107,4.3746,0.0875,176.15,497.22,2223.68,294.79,192,0.00,0.00,100.00,50
108,6.4358,0.1287,86.49,684.57,2525.74,361.16,256,0.00,0.00,100.00,50
109,6.7775,0.1355,15.82,684.57,279.82,279.23,256,0.00,0.00,100.00,50
110,7.0656,0.1413,29.62,684.57,503.88,225.55,256,0.00,0.00,100.00,50
111,6.7292,0.1346,10.67,58.23,64.12,60.14,128,0.00,0.00,100.00,50
112,6.1508,0.1230,19.81,58.23,110.01,63.17,128,0.00,0.00,100.00,50
113,7.1093,0.1422,7.30,69.96,37.71,59.15,192,0.00,0.00,100.00,50
114,7.0598,0.1412,44.85,87.36,241.79,65.72,256,0.00,0.00,100.00,50
