episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
86,30.8139,0.6163,321.28,419.71,9746.25,405.04,256,843.91,287.33,97.38,50
87,30.6199,0.6124,10.67,58.23,64.12,60.14,128,868.50,273.69,100.00,50
88,30.9955,0.6199,2.99,34.93,11.75,57.47,128,918.45,285.70,89.02,50
89,31.0698,0.6214,8.66,684.55,44.57,333.95,256,671.02,243.95,100.00,50
90,30.3338,0.6067,9.89,34.92,52.92,59.67,128,1036.55,308.15,98.77,50
91,31.0936,0.6219,82.55,419.70,2182.61,321.10,256,942.16,300.11,89.24,50
92,28.7257,0.5745,118.53,130.11,3499.14,360.50,128,977.84,320.29,98.05,50
93,30.5772,0.6115,52.15,251.99,112.82,59.78,128,804.57,287.44,98.65,50
94,29.7369,0.5947,3.49,69.96,7.57,54.20,192,938.47,283.44,85.61,50
95,29.3611,0.5872,19.79,34.92,117.47,63.50,128,908.03,276.48,100.00,50
96,30.9592,0.6192,418.27,256.81,10192.40,333.47,192,725.60,214.93,97.79,50
97,31.7098,0.6342,11.83,419.68,48.31,339.71,256,815.68,236.48,94.04,50
98,30.7633,0.6153,19.79,34.92,117.47,63.50,128,879.06,256.26,88.80,50
99,29.2772,0.5855,209.56,253.93,1552.49,206.21,192,728.22,237.07,89.78,50
100,31.9002,0.6380,7.30,69.96,37.71,59.15,192,941.79,325.53,85.91,50
101,29.8299,0.5966,44.85,87.36,241.79,65.72,256,773.61,256.68,99.11,50
102,30.6431,0.6129,196.95,130.11,7756.61,394.46,128,821.94,252.78,86.70,50
103,29.0664,0.5813,118.53,130.11,3499.14,360.50,128,846.43,293.96,99.37,50
104,30.0532,0.6011,7.30,69.96,37.71,59.15,192,859.66,263.05,89.91,50
105,32.0812,0.6416,7.30,69.96,37.71,59.15,192,1001.20,292.00,91.64,50
106,28.5288,0.5706,19.81,58.23,110.01,63.17,128,740.16,282.17,97.68,50
107,30.7052,0.6141,10.44,43.07,60.71,60.83,256,963.98,327.72,100.00,50
108,30.4255,0.6085,196.95,130.11,7756.61,394.46,128,879.23,307.68,90.90,50
109,31.6056,0.6321,44.85,87.36,241.79,65.72,256,873.67,290.90,98.45,50
110,30.6737,0.6135,3.36,58.20,9.04,55.93,128,877.86,266.32,93.99,50
111,30.8048,0.6161,19.81,58.23,110.01,63.17,128,868.34,290.78,99.29,50
112,31.1874,0.6237,6.29,251.97,13.42,53.25,128,910.04,279.66,89.01,50
113,29.1509,0.5830,10.67,58.23,64.12,60.14,128,861.57,285.84,93.82,50
114,30.5936,0.6119,22.12,497.22,468.13,209.53,192,978.45,317.82,94.92,50
115,31.2241,0.6245,118.53,130.11,3499.14,360.50,128,715.59,249.24,89.88,50
116,29.3599,0.5872,8.26,130.13,35.35,239.43,128,956.51,278.79,94.14,50
117,31.3518,0.6270,19.81,58.23,110.01,63.17,128,822.42,261.55,98.97,50
118,30.8167,0.6163,196.95,130.11,7756.61,394.46,128,916.25,266.46,99.14,50
119,29.5562,0.5911,19.81,58.23,110.01,63.17,128,774.10,272.14,98.46,50
120,29.7662,0.5953,13.94,497.22,253.88,285.86,192,989.77,303.96,86.52,50
121,30.7738,0.6155,8.26,130.13,35.35,239.43,128,969.19,313.37,88.29,50
122,30.6561,0.6131,245.46,419.71,6992.43,398.38,256,774.56,278.54,85.01,50
123,29.7562,0.5951,118.53,130.11,3499.14,360.50,128,855.50,282.78,92.74,50
124,30.4041,0.6081,418.27,256.81,10192.40,333.47,192,871.63,256.27,85.92,50
125,31.4591,0.6292,8.66,684.55,44.57,333.95,256,778.50,250.67,93.35,50
126,29.4843,0.5897,96.56,130.12,634.08,183.01,128,909.54,281.30,86.37,50
127,31.1553,0.6231,3.09,43.06,12.31,58.00,256,956.89,289.86,92.53,50
128,31.9084,0.6382,44.85,87.36,241.79,65.72,256,938.43,325.98,92.01,50
129,29.6883,0.5938,86.49,684.57,2525.74,361.16,256,824.66,286.33,98.97,50
130,30.1666,0.6033,106.77,251.99,218.08,62.87,128,976.35,323.15,93.93,50
131,30.4610,0.6092,96.56,130.12,634.08,183.01,128,832.59,259.54,91.06,50
132,28.6831,0.5737,45.52,69.96,274.59,70.22,192,927.80,264.12,99.34,50
133,30.0205,0.6004,19.81,58.23,110.01,63.17,128,967.65,282.62,92.55,50
134,30.3956,0.6079,3.36,58.20,9.04,55.93,128,761.47,274.90,97.48,50
135,30.8230,0.6165,19.79,34.92,117.47,63.50,128,986.19,288.90,90.25,50
136,30.7067,0.6141,176.15,497.22,2223.68,294.79,192,705.47,234.98,94.03,50
137,30.1356,0.6027,9.16,497.25,57.00,348.00,192,686.63,228.75,87.90,50
138,28.9860,0.5797,2.99,34.93,11.75,57.47,128,931.81,316.90,85.32,50
139,30.7321,0.6146,44.85,87.36,241.79,65.72,256,1060.87,315.60,90.16,50
140,30.9782,0.6196,9.16,497.25,57.00,348.00,192,851.52,281.16,97.86,50
141,29.2858,0.5857,32.17,58.23,225.79,69.23,128,935.33,286.58,98.17,50
142,29.9657,0.5993,209.56,253.93,1552.49,206.21,192,752.83,257.51,99.31,50
143,30.4160,0.6083,12.33,69.96,60.39,60.13,192,837.42,307.66,94.48,50
144,29.2975,0.5860,6.46,58.23,31.99,59.05,128,811.67,217.26,98.03,50
145,32.4481,0.6490,3.09,43.06,12.31,58.00,256,656.27,227.15,85.89,50
146,29.4927,0.5899,6.48,34.93,37.24,58.91,128,825.18,269.73,97.44,50
