episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
188,18.3427,0.3669,245.46,419.71,6992.43,398.38,256,396.25,147.90,100.00,50
189,19.9489,0.3990,86.49,684.57,2525.74,361.16,256,286.83,82.11,99.46,50
190,20.1396,0.4028,86.49,684.57,2525.74,361.16,256,184.00,66.69,97.62,50
191,20.2801,0.4056,86.49,684.57,2525.74,361.16,256,227.77,78.12,100.00,50
192,20.5332,0.4107,18.61,87.37,77.66,61.05,256,192.76,57.17,100.00,50
193,19.6877,0.3938,86.49,684.57,2525.74,361.16,256,301.72,94.00,100.00,50
194,20.7025,0.4140,86.49,684.57,2525.74,361.16,256,114.94,46.35,100.00,50
195,20.9082,0.4182,15.82,684.57,279.82,279.23,256,186.52,56.17,100.00,50
196,19.8728,0.3975,29.62,684.57,503.88,225.55,256,223.28,82.11,100.00,50
197,19.5888,0.3918,44.85,87.36,241.79,65.72,256,434.83,124.97,100.00,50
198,20.8959,0.4179,82.55,419.70,2182.61,321.10,256,154.85,37.99,100.00,50
199,20.0989,0.4020,56.64,684.57,1098.59,334.86,256,246.90,63.21,100.00,50
200,18.3201,0.3664,56.64,684.57,1098.59,334.86,256,360.82,118.94,100.00,50
201,21.0209,0.4204,8.66,684.55,44.57,333.95,256,18.44,6.09,100.00,50
202,20.3437,0.4069,8.66,684.55,44.57,333.95,256,304.63,104.68,100.00,50
203,19.6543,0.3931,86.49,684.57,2525.74,361.16,256,293.06,98.33,87.91,50
204,20.8145,0.4163,86.49,684.57,2525.74,361.16,256,102.28,46.51,100.00,50
